source_id,ra_gaia,dec_gaia,parallax,parallax_over_error,pmra,pmdec,phot_g_mean_mag,bp_rp,ruwe,distance_pc,absolute_g_mag,obsid,designation,gaia_source_id,ra_lamost,dec_lamost,snrg,class,subclass,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,id_match_sep_arcsec,pm_total,tangential_velocity_kms,reduced_pm_g,metallicity_group,high_vtan_candidate,metal_poor_candidate,chemo_kinematic_candidate
3084314769444415488,120.04474182038568,0.7205139129316469,2.1399325707911845,86.977875,-12.14655570331682,-3.9760040856562218,14.709928,1.2367477,0.9656488,467.3044439107144,6.3619280036947075,869902027,J080010.74+004313.8,3084314769444415488,120.044777,0.720526,54.86,STAR,K4,4775.52,42.17,4.766,0.06,0.021,0.036,18.15,5.67,0.1339038754265853,12.780744264045554,28.312450396032645,10.242708724650452,solar_like,False,False,False
3084815974947636480,120.05122443221404,1.6004311461151115,7.655629558811102,469.31647,-11.431398514926162,-27.89599743961506,10.225221,0.7824011,0.832208,130.62283020853184,4.645125233249706,115111043,J080012.30+013601.9,3084815974947636480,120.05127,1.600547,137.85,STAR,G3,5964.22,28.97,4.464,0.039,0.057,0.022,26.7,4.66,0.4481519389393883,30.147363817721544,18.66765791880719,7.621467710163381,solar_like,False,False,False
3084815974947636480,120.05122443221404,1.6004311461151115,7.655629558811102,469.31647,-11.431398514926162,-27.89599743961506,10.225221,0.7824011,0.832208,130.62283020853184,4.645125233249706,122510223,J080012.30+013601.9,3084815974947636480,120.05127,1.600547,254.9,STAR,G3,5941.31,25.24,4.48,0.031,0.027,0.014,23.77,4.6,0.4481519389393883,30.147363817721544,18.66765791880719,7.621467710163381,solar_like,False,False,False
3084815974947636480,120.05122443221404,1.6004311461151115,7.655629558811102,469.31647,-11.431398514926162,-27.89599743961506,10.225221,0.7824011,0.832208,130.62283020853184,4.645125233249706,334210223,J080012.22+013600.0,3084815974947636480,120.05127,1.600549,100.63,STAR,G3,5897.88,36.2,4.421,0.05,0.003,0.029,25.29,5.19,0.4548602705682242,30.147363817721544,18.66765791880719,7.621467710163381,solar_like,False,False,False
3084829031648910464,121.05218145891668,1.3791125955657302,1.4656680731415392,73.730225,-9.349562906314237,2.967194432072188,11.082329,0.9976845,1.0504309,682.2827203000895,1.9125069346621828,122405056,J080412.52+012244.7,3084829031648910464,121.0522,1.379102,148.07,STAR,G6,5299.02,24.1,3.513,0.032,-0.123,0.018,31.3,3.98,0.0768613618425821,9.809106449460486,31.72599287832306,6.040476237846111,solar_like,False,False,False
3084771410368233088,120.00207165033692,1.2599956687356952,1.7241270989004869,57.835056,-0.636051130945953,-5.617295906306486,15.117664,1.1643438,0.9881145,580.00364395277,6.300510726726198,869910167,J080000.49+011536.0,3084771410368233088,120.002082,1.260008,55.65,STAR,K3,4846.74,32.34,4.74,0.046,-0.14,0.028,26.84,4.34,0.057950363198124,5.653191518088277,15.543392835042207,8.879132493407091,solar_like,False,False,False
3083645441741003776,121.43747014391336,0.0753230075174604,1.2252318412517813,53.743565,5.643596653587139,-14.036820381926688,14.264714,0.8690815,1.0217246,816.1720633854333,4.705805614528851,869901092,J080544.98+000431.3,3083645441741003776,121.4374397,0.0753731,87.2,STAR,F9,5575.91,32.13,4.303,0.045,-0.089,0.026,-36.63,4.41,0.2110253263725769,15.128863461042025,58.53416549956286,10.163745516805376,solar_like,False,False,False
3083693029978509952,121.73582926222127,0.4366413346990619,1.7530730971574615,106.88697,-2.2050566424170595,-22.102686052276184,13.028001,0.76639175,1.0019926,570.4268701752712,4.24700095693971,122501131,J080656.59+002612.0,3083693029978509952,121.73582,0.4366828,56.79,STAR,G2,5878.27,36.9,4.218,0.053,-0.191,0.032,-31.98,4.95,0.1529536140518635,22.212406567541297,60.06437902216845,9.760979070181232,solar_like,False,False,False
3084819376561811328,120.36002478827992,1.6503550348328129,2.4282253575645307,91.72641,-17.548209438826724,2.8746518167016895,14.467796,1.253994,0.94339657,411.8233906440147,6.394241276013085,869903248,J080126.41+013901.2,3084819376561811328,120.360057,1.650347,89.74,STAR,K4,4624.9,43.17,4.647,0.06,-0.024,0.035,61.84,5.96,0.1194686358743057,17.78210554395046,34.71487422093222,10.717711918148268,solar_like,False,False,False
3084037623794412800,120.50002786661535,0.0396835880195665,2.0164703549007603,101.35948,-4.149613292877631,-4.979788028060131,14.364539,1.0735073,0.9074133,495.9160433822567,5.887498354517293,869902117,J080200.00+000222.9,3084037623794412800,120.5000364,0.0397125,84.95,STAR,K2,5134.81,39.69,4.748,0.056,0.077,0.033,-21.06,5.41,0.1085220122927425,6.482096827789427,15.238600197890445,8.423116570584137,solar_like,False,False,False
